/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:00', 'PASSED']
['./lowpass_filter', '0:01:04', 'PASSED']
['./wave_guide', '0:03:10', 'PASSED']
['./microstrip_trace', '0:02:21', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/CFD
['./NegativeHTC', '0:00:30', 'PASSED']
['./Static_NC_pcb_pkg_merge', '0:01:04', 'PASSED']
['./Static_NC_demo', '0:00:48', 'PASSED']
['./3dComp_Static', '0:00:31', 'PASSED']
['./3d_component_paraview', '0:00:24', 'PASSED']
['./LocalRefTemperature', '0:00:27', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/MCAD
['./CelsiusFEMCase_Bi_Beam', '0:00:23', 'PASSED']
['./solid_extraction', '0:00:53', 'PASSED']
['./CreateTransientPower/create_pwl', '0:01:19', 'PASSED']
['./CreateTransientPower/create_transient_PowerMap', '0:00:16', 'PASSED']
['./CreateTransientPower/create_pulse', '0:00:31', 'PASSED']
['./CelsiusFEMCase_plane_stress_symBC', '0:00:15', 'PASSED']
['./terminal_lumped', '0:04:49', 'PASSED']
['./static_thermal', '0:00:23', 'PASSED']
['./plane_strain_dis_bc', '0:00:21', 'PASSED']
['./wire_resistance_etw', '0:00:44', 'PASSED']
['./CelsiusEngineCase', '0:00:13', 'PASSED']
['./viscoBar', '0:01:59', 'PASSED']
['./transient_thermal', '0:00:36', 'PASSED']
['./2R_HTC', '0:01:05', 'PASSED']
['./transient_thermal_atlas', '0:00:33', 'PASSED']
['./CelsiusFEMCase_2R', '0:00:09', 'PASSED']
['./static_electrical', '0:00:47', 'PASSED']
['./plane_stress_stress_bc', '0:00:26', 'PASSED']
['./impt_expt_powerMap', '0:00:47', 'PASSED']
['./import_stp', '0:00:19', 'PASSED']
/data/Automation/main/tests/unit_tests/Optimality
['./ai_simulation_3dlayout_one_trace_smaller', '0:02:55', 'PASSED']
['./ai_optimality_test_fake_case_from_suomin', '0:01:51', 'PASSED']
['./optimality_TDR_one_trace', '0:02:08', 'PASSED']
['./ai_simulation_hsso_usb_drillSize', '0:03:39', 'PASSED']
['./optimality_antenna_Far_Field_test', '0:04:23', 'PASSED']
['./optimality_customer_function_workbench', '0:02:10', 'PASSED']
/data/Automation/main/tests/post_regression/psi/splitted/part1
['./CCMPR02432389_impedance_issue_w_coplanar_2p0', '0:01:10', 'PASSED']
['./ccr02622139_001_cpw_DCoption', '0:00:43', 'PASSED']
['./auto_special_void_stackup', '0:00:29', 'PASSED']
['./ccr02698361_3coaxial_ports_1enabled', '0:00:11', 'PASSED']
['./Case2_SODIMM_ERC_1NG', '0:00:17', 'PASSED']
['./CCMPR02448789_crash_issue_PSI_2p0', '0:02:17', 'PASSED']
['./CCMPR02417282_merge_PKG_PCB_prefix', '0:00:08', 'PASSED']
['./calculate_oblongpad_wrong', '0:00:15', 'PASSED']
['./Auto_special_void_17_case1_2p0_wo_dp', '0:02:16', 'PASSED']
['./SampleCase_Z-impedance_DP', '0:03:30', 'PASSED']
['./ccr02690861_500MHz_2p0_wo_dp', '0:09:41', 'PASSED']
['./CCMPR02637102_Impedance_Coupling_Overlay_hang_issue', '0:00:59', 'PASSED']
['./CCMPR02674960_arc_trace_crash_AFS_wo_dp', '0:01:07', 'PASSED']
['./CCMPR02316552_warning_update_5um', '0:00:29', 'PASSED']
['./CCMPR02584811_cut_polygon_boundary', '0:00:30', 'PASSED']
['./add_port_by_ploc', '0:00:04', 'PASSED']
['./ccr02264431_fillet_issue_in_special_void', '0:00:49', 'PASSED']
['./ccr01909641_soldermask', '0:00:39', 'PASSED']
/data/Automation/main/tests/post_regression/psi/splitted/part2
['./ccr02751900_top_cap_floating_plane', '0:02:28', 'PASSED']
['./different_size_overlap_hole', '0:00:17', 'PASSED']
['./demospatial_port_gen', '0:01:16', 'PASSED']
['./teardrop_pad1x1.5', '0:00:22', 'PASSED']
['./dc_fitted_1hz_400mhz_log', '0:00:30', 'PASSED']
['./test_TBUP_1A_wo_dp', '0:00:25', 'PASSED']
['./np_microstrip_squareaddtri_w0.50A', '0:00:49', 'PASSED']
['./pseudo_PCB_wo_dp', '0:01:05', 'PASSED']
['./psi_DCR3_100x1mm_2planes_eigen', '0:00:11', 'PASSED']
['./tabbed_trace_ID1_S_parameters', '0:02:14', 'PASSED']
['./enable_alias_short_pkg_top_brd_1st_spd', '0:01:41', 'PASSED']
['./psi_brd_IR_drop_SM_LogLinear', '0:00:06', 'PASSED']
['./ccr1979665_hook_verticalpin', '0:00:05', 'PASSED']
['./small_case_for_smoke_test', '0:00:41', 'PASSED']
['./xReg_Test_76', '0:00:33', 'PASSED']
['./update_max_cpu', '0:00:05', 'PASSED']
['./ccr02763747_xReg_Test_12_IPC', '0:00:34', 'PASSED']
/data/Automation/main/tests/unit_tests/pdc/splitted/part1
['./3D_via_mesh_MB', '0:00:54', 'PASSED']
['./CCMPR01450167_co_sim_sweep', '0:00:21', 'PASSED']
['./LEDAtest1', '0:00:18', 'PASSED']
['./Resistance_Measurement', '0:00:49', 'PASSED']
['./CCMPR01490382_DE144543', '0:00:28', 'PASSED']
['./CCMPR02119000_loop_error', '0:05:52', 'PASSED']
['./Multi_Board', '0:01:22', 'PASSED']
['./3D_via_neg_shape_separate', '0:00:20', 'PASSED']
['./DCDC_demo', '0:02:09', 'PASSED']
['./CCMPR1246225_multi-board_analysis', '0:01:00', 'PASSED']
['./NoDC_R', '0:00:07', 'PASSED']
['./PDC_E_T_tcl', '0:00:50', 'PASSED']
['./4DIMM', '0:01:38', 'PASSED']
['./2diesidebyside_wbwb_mcp', '0:00:15', 'PASSED']
/data/Automation/main/tests/unit_tests/pdc/splitted/part2
['./fccsp_pkg', '0:00:35', 'PASSED']
['./flipchip_pkg', '0:00:42', 'PASSED']
['./Single_Board', '0:00:25', 'PASSED']
['./polygon_Cham_Rec', '0:00:05', 'PASSED']
['./multiloops_has_sense_line', '0:00:06', 'PASSED']
['./Resistance_Network_Model', '0:00:17', 'PASSED']
['./result_different_to_legacy', '0:02:39', 'PASSED']
['./joule_component_heatsink', '0:00:39', 'PASSED']
['./fccsp_delphi', '0:04:07', 'PASSED']
['./pwrdc_pcb_01', '0:00:39', 'PASSED']
['./complicated_circuit_VRM_sim_fail', '0:00:20', 'PASSED']
['./single_board', '0:00:15', 'PASSED']
['./multi_board_sense2', '0:00:58', 'PASSED']
['./wirebond', '0:00:20', 'PASSED']
['./alchip', '0:00:41', 'PASSED']
/data/Automation/main/tests/unit_tests/xpi
['./PartialLumpRefExtComp', '0:03:30', 'PASSED']
['./2156633_tsv_level6_EPA_incorrect_redo', '0:01:40', 'PASSED']
['./2013075_auto_bump_at_gds_top_layer', '0:00:00', 'PASSED']
['./ExComp_BumpDIE_TSVPKG_BBS', '0:00:40', 'PASSED']
['./CellAlias', '0:00:26', 'PASSED']
['./NXP_pll_vco', '0:00:12', 'PASSED']
['./xpi_match_ionet', '0:00:09', 'PASSED']
['./ExComp_BumpPKG', '0:02:28', 'PASSED']
['./ON', '0:02:07', 'PASSED']
/data/Automation/main/tests/unit_tests/xim
['./Others/Error_check/CCMPR02686409_error_checking', '0:05:52', 'PASSED']
['./Partial_Lead', '0:01:26', 'PASSED']
['./POP_wirebond', '0:00:48', 'PASSED']
['./RLC_Reg_001', '0:00:32', 'PASSED']
['./IC_flow/cc02729066_2gnd_case2', '0:00:46', 'PASSED']
['./RLC_Reg_059_PowerDC', '0:00:29', 'PASSED']
['./XIM_2.0/Pin_based/Sample_Wirebond_Pinbased', '0:00:31', 'PASSED']
['./XIM_2.0/EPA_workflow/EPA_Reg_007_PerPin_Decap', '0:05:41', 'PASSED']
['./XIM_2.0/EPA_workflow/Decap_efficiency/CCMPR02431128_bumpsballs_decaps_eff_warning_msg_2.0', '0:01:11', 'PASSED']
['./XIM_2.0/EPA_workflow/EPA_FlipChip_XIM_2.0', '0:00:47', 'PASSED']
['./XIM_2.0/Net_based/RC_SPEF/demo_PinName', '0:00:35', 'PASSED']
['./XIM_2.0/other_feature/2019Base_MCP_Header_tcl/PLOC_reference_floating_pins', '0:00:05', 'PASSED']
['./Running_101_Pinbased', '0:00:42', 'PASSED']
['./pin-based/Options_include_decap_SPICE/CCMPR02029682_8Terminal_Capacitor', '0:01:37', 'PASSED']
['./EPA_workflow/Sample_cases/EPA_PerPinRL_Multi_die_sample1', '0:00:55', 'PASSED']
['./EPA_FlipChip_XIM_1.0', '0:00:28', 'PASSED']
['./XIM_MultiDie_Sample4_WBFC', '0:00:17', 'PASSED']
['./Broadband_netbased_Pi-model', '0:00:49', 'PASSED']
['./Sample_Lead_WB_KNSstandard', '0:03:44', 'PASSED']
['./tcl_commands/BumpsBalls_setup/Single_Die_multi_bump_sizes_setup_tcl', '0:00:00', 'PASSED']
/data/Automation/main/tests/unit_tests/opi
['./Intel1', '0:00:41', 'PASSED']
['./CCMPR01815648_apply_powertree', '0:01:09', 'PASSED']
['./opi_sample_cases/Demo_Loop_Inductance', '0:00:20', 'PASSED']
['./opi_sample_cases/Demo_PDN_Verification', '0:01:54', 'PASSED']
['./opi_sample_cases/Demo_Decap_locations', '0:00:46', 'PASSED']
['./opi_sample_cases/Demo_Pin_Inductance', '0:01:22', 'PASSED']
['./opi_sample_cases/Demo_Pre_Layout', '0:02:07', 'PASSED']
['./opi_sample_cases/Device_Optimization', '0:01:08', 'PASSED']
/data/Automation/main/tests/unit_tests/cie
['./Reg_002', '0:00:16', 'PASSED']
['./Reg_001', '0:02:58', 'PASSED']
